ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
649,MZ-29,Male,Adult,204,2.309630167,no,35,7.85,40,184,0,macrotis,N. macrotis luciana,macrotis,,-277.26,35.77474,-120.793623,2010,"38,887 ",S45,S45,3,Sympatry,MZ,29,Scrotal,,,red tipped phallus,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Typical,0.75,1.5,1,Stick,Western Sycamore,present,Low,present,Populus fremontii,old,0.004912307
651,WKH-16C,Male,Adult,342,2.534026106,no,35,,42,184,0,fuscipes,N. fuscipes bullatior,fuscipes,,497.53,35.773429,-120.795288,2008,"38,142 ",482,482,3,Sympatry,WKH,0,,,,,,,,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004921226
659,MZ-52,Female,Adult,280,2.447158031,no,38,8.3,37,187,0,macrotis,n/a,macrotis,,257.59,35.774101,-120.794015,2010,"38,889 ",693,3959,3,Sympatry,MZ,52,Post Lactate,,Parous,,Perforate,yes,,JH Bender and MM Koenig,,Right tag ripped out. Second tag added to left ear (3959),,Low,0,no,Few,,yes,1,Asymmetrical,Typical,1,2.5,1.5,Stick,Arroyo Willow,present,Low,present,Artemisia douglasiana,old,0.004974098
670,CZ-34,Female,Adult,256,2.408239965,no,35,9.58,34,190,0,macrotis,n/a,macrotis,,291.62,35.774719,-120.795532,2010,"38,844 ",3588,3589,3,Sympatry,CZ,34,Lactating,,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,Symmetrical,Typical,1,2.25,2,Stick,Red Willow,present,Low,present,Artemisia douglasiana,old,0.004970433
672,NC-100,Female,Adult,270,2.431363764,no,36,9.6,38,190,0,fuscipes,n/a,fuscipes,,-584.35,35.775888,-120.793288,2010,"38,859 ",742,742,3,Sympatry,NC,100,Post Lactate,,Parous,"Many scars around teats, recent post Lactate.",Nonperforate,yes,,JH Bender and MM Koenig,,,,Medium,1,yes,Few,1 Botfly on chest,no,0,,,0.5,2,1,Stick,Red Willow,present,Low,,,absent,0.004558419
677,WKH-10C,Male,Adult,382,2.582063363,no,36,,41,190,0,fuscipes,N. fuscipes bullatior,fuscipes,,557.81,35.773277,-120.795369,2008,"38,143 ",493,493,3,Sympatry,WKH,0,,,,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004926935
679,MZ-71,Male,Adult,238,2.376576957,no,35,,41,191,0,macrotis,N. macrotis luciana,macrotis,,288.46,35.773866,-120.794495,2010,"38,891 ",S77,S77,3,Sympatry,MZ,71,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,yes,5,Symmetrical,Typical,0.5,1.5,1,Crook of Tree,Red Willow,present,Low,present,Artemisia douglasiana,old,0.004850179
680,CZ-13,Female,Adult,281,2.44870632,no,35,,36,192,0,macrotis,n/a,macrotis,,514.55,35.773333,-120.795159,2010,"38,832 ",3346,3347,3,Sympatry,CZ,13,Post Lactate,,Parous,,Nonperforate,no,Rostrum,JH Bender and MM Koenig,,,,Low,0,no,None,,no,0,Symmetrical,Typical,1.25,1.5,1.25,Stick,Arroyo Willow,present,Low,present,Salix lasiolepis,fresh,0.004946833
682,NC-95,Female,Adult,265,2.423245874,no,36,,39,192,0,fuscipes,n/a,fuscipes,,-644.97,35.775963,-120.793083,2010,"38,859 ",743,743,3,Sympatry,NC,95,Post Lactate,,Parous,,Nonperforate,yes,Rostrum,JH Bender and MM Koenig,,Scar at base of tail.,,Medium,1,yes,Many,1 Botfly scar,no,0,Asymmetrical,Typical,0.75,2.5,1.75,Stick,Red Willow,present,Low,,,absent,0.00455367
684,TF-,Male,Adult,345,2.537819095,no,33,,41,192,0,fuscipes,N. fuscipes bullatior,fuscipes,,-461.5,35.775559,-120.793459,2009,"38,428 ",na,653,3,Sympatry,TF,0,,,,,,,"Tag pretty high up on ear, may lose it",JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004836425
685,TF-7D,Male,Adult,362,2.558708571,no,36,,41,192,0,fuscipes,N. fuscipes bullatior,fuscipes,,-500.95,35.775583,-120.793303,2009,"38,498 ",727,727,3,Sympatry,TF,0,,,,,,,,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004833197
686,AS-,Male,Adult,262,2.418301291,no,39,,43,192,0,fuscipes,N. fuscipes bullatior,fuscipes,,-506.12,35.775927,-120.793858,2009,"38,429 ",na,668,3,Sympatry,AS,0,,,,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004832775
687,AS-19B,Male,Adult,371,2.56937391,no,37,,44,192,0,fuscipes,N. fuscipes bullatior,fuscipes,,-513.73,35.775776,-120.793497,2008,"38,153 ",550,550,3,Sympatry,AS,0,,,,,,,"Tail stubby, broken/injured toe on rt foot",JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004832156
688,CZ-30,Female,Adult,268,2.428134794,no,32,9.72,34,193,0,macrotis,n/a,macrotis,,296.07,35.773944,-120.795032,2010,"38,844 ",B83,774,3,Sympatry,CZ,30,Lactating,,Parous,,Nonperforate,yes,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,no,0,Symmetrical,Typical,0.5,2,1.75,Stick,Red Willow,present,Medium,present,Artemisia douglasiana,old,0.004969955
690,CZ-26,Male,Adult,237,2.374748346,no,36,9.14,37,193,0,macrotis,N. macrotis luciana,macrotis,,367.89,35.773737,-120.795065,2010,"38,953 ",S459,S459,3,Sympatry,CZ,26,Scrotal,,,,,no,,JH Bender and SL Widin,updated genotype,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,0.75,2,1,Crook of Bush,California Coffeeberry,present,Medium,present,Rhamnus californicus,old,0.004841788
691,NC-97,Male,Adult,255,2.40654018,no,39,8.24,38,193,0,fuscipes,N. fuscipes bullatior,fuscipes,,-606.01,35.775888,-120.793177,2010,"38,868 ",719,719,3,Sympatry,NC,97,Scrotal,,,,,yes,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,1.5,2.25,1,Crook of Tree,Red Willow,absent,absent,present,Salix spp.,old,0.004824707
692,MZ-50,Female,Adult,244,2.387389826,no,36,9.11,38,193,0,fuscipes,n/a,fuscipes,,206.96,35.774224,-120.7941,2010,"38,932 ",S482,S482,3,Sympatry,MZ,50,Post Lactate,,Parous,,Perforate,no,,MM Koenig and WH Knowlton,updated genotype,,,Low,0,no,Moderate,,no,0,Symmetrical,Typical,0.75,1.5,0.75,Stick,Red Willow,present,Medium,absent,,absent,0.004626042
696,TF-4B,Female,Adult,271,2.432969291,no,30,,39,193,0,macrotis,n/a,macrotis,,-447.76,35.775404,-120.793353,2008,"38,156 ",564,564,3,Sympatry,TF,0,Lactating,,Parous,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.005053899
697,AS-2A,Female,Adult,262,2.418301291,no,31,,39,193,0,fuscipes,n/a,fuscipes,,-888.96,35.776563,-120.792679,2008,"38,152 ",534,534,3,Sympatry,AS,0,Lactating,,Parous,,,,,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004535222
699,KH-,Male,Adult,209,2.320146286,no,30,,40,193,0,macrotis,N. macrotis luciana,macrotis,,256.09,35.774008,-120.794885,2009,"38,426 ",na,695,3,Sympatry,KH,0,,,,,,,"Mildly Hypothermic, recovered?",JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004853622
700,AS-13A,Female,Adult,292,2.465382851,no,35,,40,193,0,fuscipes,n/a,fuscipes,,-674.12,35.776029,-120.793026,2008,"38,152 ",535,535,3,Sympatry,AS,0,Lactating,,Parous,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.00455141
702,CZ-25,Male,Adult,248,2.394451681,no,36,8.41,41,193,0,macrotis,N. macrotis luciana,macrotis,,301.85,35.773863,-120.794845,2010,"38,953 ",S439,S439,3,Sympatry,CZ,25,Scrotal,,,,,no,,MM Koenig and WH Knowlton,updated genotype,,,Low,0,no,None,,no,0,Symmetrical,Typical,1,1.5,1.25,Crook of Tree,Red Willow,present,Medium,present,Artemisia douglasiana,old,0.004848759
703,BH-,Male,Adult,317,2.501059262,no,38,,41,193,0,macrotis,N. macrotis luciana,macrotis,,256.92,35.774074,-120.794064,2009,"38,427 ",692,na,3,Sympatry,BH,0,,,,,,,,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004853533
707,CZ-16,Female,Adult,320,2.505149978,no,37,,35,194,0,macrotis,n/a,macrotis,,425.05,35.77361,-120.795186,2010,"38,832 ",738,738,3,Sympatry,CZ,16,Post Lactate,,Parous,,Nonperforate,yes,Rostrum,JH Bender and MM Koenig,,Left eye missing or wounded,,Low,0,no,None,,no,0,Symmetrical,Typical,0.75,1.75,1.5,Crook of Bush,Poison Oak,present,Low,present,Artemisia douglasiana,fresh,0.004956222
710,CZ-32,Female,Adult,254,2.404833717,no,37,9.38,39,194,0,fuscipes,n/a,fuscipes,,326.53,35.774214,-120.795509,2010,"38,954 ",S444,S444,3,Sympatry,CZ,32,Post Lactate,,Parous,,Perforate,no,,"MM Koenig, AL Estacio, SL Widin",updated genotype,,,Low,0,no,None,,no,0,Symmetrical,Typical,1,3,1.75,Stick,Red Willow,present,Medium,present,Salix laevigata,fresh,0.00463712
712,TF-1A,Male,Adult,226,2.354108439,no,31,,39,194,0,macrotis,N. macrotis luciana,macrotis,,-413.81,35.77562,-120.793811,2008,"38,155 ",555,555,3,Sympatry,TF,0,,,,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004927936
714,NC-89,Female,Adult,325,2.511883361,no,39,9.4,40,194,0,fuscipes,n/a,fuscipes,,-749.17,35.776241,-120.79294,2010,"38,868 ",839,839,3,Sympatry,NC,89,Post Lactate,,Parous,,Nonperforate,yes,,JH Bender and MM Koenig,checked,,,Medium,0,no,Few,mange on rump. 1 botfly scar,no,0,Asymmetrical,Typical,0.75,2,1,Stick,Red Willow,present,Low,,,absent,0.00454566
715,TF-14D,Female,Adult,295,2.469822016,no,34,,40,194,0,hybrid,n/a,hybrid,,-320.47,35.775029,-120.793573,2009,"38,499 ",728,728,3,Sympatry,TF,0,Lactating,,Parous,,,,At house Location,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.00966579
717,CZ-16,Male,Adult,256,2.408239965,no,34,7.99,41,194,0,macrotis,N. macrotis luciana,macrotis,,425.05,35.77361,-120.795186,2010,"38,953 ",S437,S437,3,Sympatry,CZ,16,Scrotal,,,red tipped phallus,,no,,MM Koenig and WH Knowlton,updated genotype,trap was moved over a meter,,Low,0,no,None,,no,0,Symmetrical,Typical,0.75,1.75,1.5,Crook of Bush,Poison Oak,present,Low,present,Artemisia douglasiana,fresh,0.004835799
724,MZ-33,Male,Adult,320,2.505149978,no,38,9.6,37,196,0,macrotis,N. macrotis luciana,macrotis,,-248.08,35.77438,-120.793788,2010,"38,879 ",3824,3825,3,Sympatry,MZ,33,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,0.5,0.75,2,Stick,Western Sycamore,present,High,absent,,absent,0.004909
728,MZ-54,Female,Adult,191,2.281033367,no,36,8.1,42,196,0,macrotis,n/a,macrotis,,281.35,35.77402,-120.794015,2010,"38,889 ",S67,S67,3,Sympatry,MZ,54,Post Lactate,,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,yes,4,Asymmetrical,Typical,0.75,3,0.75,Hillside,Arroyo Willow,present,Low,absent,,absent,0.004971537
729,TF-,Male,Adult,304,2.482873584,no,34,,43,196,0,fuscipes,N. fuscipes bullatior,fuscipes,,-267.23,35.775079,-120.793815,2009,"38,428 ",na,651,3,Sympatry,TF,0,,,,,,,"Tag pretty high up on ear, may lose it",JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004852638
730,NC-75,Female,Adult,260,2.414973348,no,37,8.44,37,197,0,fuscipes,n/a,fuscipes,,-859.54,35.776671,-120.79304,2010,"38,858 ",724,724,3,Sympatry,NC,75,Post Lactate,,Parous,No recent scars on teats,Nonperforate,yes,Rostrum,JH Bender and MM Koenig,checked,Caught in same trap as juvehnile 3672/3673,,Medium,0,no,Many,,no,0,Symmetrical,Typical,0.5,1.5,1.25,Stick,Arroyo Willow,present,Low,present,Salix spp.,old,0.004537389
731,CZ-33,Male,Adult,340,2.531478917,no,34,9.02,38,197,0,macrotis,N. macrotis luciana,macrotis,,286.83,35.774436,-120.79548,2010,"38,954 ",779,779,3,Sympatry,CZ,33,Scrotal,,,,,yes,,"MM Koenig, AL Estacio, SL Widin",Not a hybrid,ran into midden CZ 33,,Low,0,no,Moderate,,no,0,Symmetrical,Typical,1,2.25,2,Stick,Red Willow,present,Medium,present,Artemisia douglasiana,old,0.004850352
732,CZ-52,Female,Adult,248,2.394451681,no,40,10.25,38,197,0,fuscipes,n/a,fuscipes,,-163.16,35.775103,-120.794498,2010,"38,881 ",557,557,3,Sympatry,CZ,52,Post Lactate,,Parous,No scars on teets.,Perforate,yes,,JH Bender and MM Koenig,,Hump on back (possible botfly scras). Patchy fur with dread locks on stomach and rump,,Low,0,no,Few,Possible Botfly scar  on back,yes,2,Asymmetrical,Typical,0.25,1.5,0.5,Hollow Log,Red Willow,present,Medium,present,Artemisia douglasiana,fresh,0.004593147
734,MZ-12,Female,Adult,234,2.369215857,no,38,9.54,40,197,0,fuscipes,n/a,fuscipes,,-315.73,35.775135,-120.793664,2010,"38,878 ",3806,3807,3,Sympatry,MZ,12,Post Lactate,,Parous,No scars present,Nonperforate,no,,JH Bender and MM Koenig,,,,Low,0,no,Many,,no,0,Symmetrical,Typical,0.75,1.75,1.25,Stick,Red Willow,present,Low,absent,,absent,0.004580224
737,NC-117,Female,Adult,275,2.439332694,no,38,9.7,39,198,0,fuscipes,n/a,fuscipes,,-411.81,35.775523,-120.793659,2010,"38,860 ",3974,763,3,Sympatry,NC,117,Post Lactate,,Parous,Teats enlarged with scars visible.,Nonperforate,yes,,JH Bender and MM Koenig,,Placed new tag (3974) on left ear. Caught in same trap as juvehnile 3684/3685.,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,2,1.5,Log with Sticks,Red Willow,present,Low,present,Artemisia douglasiana,old,0.004572284
738,NC-127,Male,Adult,375,2.574031268,no,40,10.22,39,198,0,fuscipes,N. fuscipes bullatior,fuscipes,,-617.62,35.776129,-120.793517,2010,"38,860 ",3690,3691,3,Sympatry,NC,127,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,0.5,3.4,0.75,Log with Sticks,Red Willow,absent,absent,present,,old,0.004823779
740,CZ-4,Female,Adult,315,2.498310554,no,40,9.64,40,198,0,hybrid,n/a,hybrid,bx_ma,592.03,35.773298,-120.795648,2010,"38,883 ",3888,3889,3,Sympatry,CZ,4,Post Lactate,,Parous,No scars on teets.,Perforate,no,,JH Bender and MM Koenig,,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,0.25,1.5,1,Crook of Tree,Red Willow,present,Low,present,Baccharis pilularis,old,0.009671989
741,CZ-10,Male,Adult,310,2.491361694,no,38,,40,198,0,macrotis,N. macrotis luciana,macrotis,,570.36,35.773245,-120.795385,2010,"38,832 ",R.O.,477,3,Sympatry,CZ,10,Scrotal,,,,,yes,Rostrum,JH Bender and MM Koenig,updated genotype,Left ear is ripped out and not suitable for retagging.,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,1.75,1.25,Crook of Tree,Red Willow,present,Medium,present,Salix laevigata and Clematis lasiantha,fresh,0.004820761
744,MZ-21,Male,Adult,300,2.477121255,no,40,9.4,43,198,0,fuscipes,n/a,fuscipes,,-274.3,35.774961,-120.793706,2010,"38,886 ",S34,S34,3,Sympatry,MZ,21,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,None,,yes,0,,,0,0,0,No Midden,Western Sycamore,present,High,absent,,absent,0.004852039
745,MZ-28,Female,Adult,231,2.36361198,no,30,8.36,38,199,0,macrotis,n/a,macrotis,,-269.63,35.774771,-120.793654,2010,"38,887 ",S44,S44,3,Sympatry,MZ,28,Post Lactate,,Parous,,Perforate,no,,JH Bender and MM Koenig,,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,0.5,1.5,1,Stick,Western Sycamore,present,High,absent,,absent,0.00503305
748,KH-13B,Male,Adult,392,2.593286067,no,35,,43,199,0,fuscipes,N. fuscipes bullatior,fuscipes,,281.41,35.773885,-120.7946,2008,"38,136 ",464,464,3,Sympatry,KH,0,,,,,,,"Caught near juvi 465, ""Andre the Giant""",JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004901109
750,MZ-51,Female,Adult,320,2.505149978,no,40,8.4,39,200,0,fuscipes,n/a,fuscipes,,225.16,35.774263,-120.793967,2010,"38,889 ",S65,S65,3,Sympatry,MZ,51,Post Lactate,,Parous,Swollen teets with old scars.,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,yes,4,Symmetrical,Typical,0.75,1,1.25,Log with Sticks,Arroyo Willow,present,High,present,Artemisia douglasiana,old,0.004627714
751,MZ-80,Male,Adult,345,2.537819095,no,40,9.94,40,200,0,macrotis,N. macrotis luciana,macrotis,,123.29,35.774337,-120.794688,2010,"38,891 ",S80,S80,3,Sympatry,MZ,80,Scrotal,,,,,no,,JH Bender and MM Koenig,,,,Low,0,no,None,,yes,5,Symmetrical,Typical,1,1.75,1,Crook of Bush,Red Willow,present,Low,present,Salix laevigata,fresh,0.004867887
752,TF-18B,Female,Adult,286,2.456366033,no,33,,40,200,0,fuscipes,n/a,fuscipes,,-247.11,35.774825,-120.793745,2008,"38,156 ",na,570,3,Sympatry,TF,0,Lactating,,Parous,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004585989
753,AS-,Male,Adult,284,2.45331834,no,,,41,200,0,hybrid,N. macrotis luciana,hybrid,,-795.45,35.776453,-120.793025,2009,"38,429 ",na,663,3,Sympatry,AS,0,,,,,,,,JC Crawford,,,,None,0,no,,,no,0,,,,,,,,,,,,,0.009641396
756,CZ-33,Male,Adult,320,2.505149978,no,40,8.18,41,201,0,macrotis,N. macrotis luciana,unknown,,286.83,35.774436,-120.79548,2010,"38,884 ",729,729,3,Sympatry,CZ,33,Scrotal,,,,,yes,,JH Bender and MM Koenig,checked,,,Low,0,no,Few,,no,0,Symmetrical,Typical,1,2.25,2,Stick,Red Willow,present,Medium,present,Artemisia douglasiana,old,0.004850352
758,KH-,Male,Adult,294,2.46834733,no,33,,44,201,0,macrotis,N. macrotis luciana,macrotis,,462.11,35.773537,-120.795285,2009,"38,426 ",na,693,3,Sympatry,KH,0,,,,,,,,JC Crawford,,,,None,0,no,,,no,0,,,,,,,,,,,,,0.004831939
759,CZ-56,Male,Adult,290,2.462397998,no,39,9.58,39,202,0,macrotis,N. macrotis luciana,macrotis,,-285.27,35.775438,-120.794474,2010,"38,881 ",3886,3887,3,Sympatry,CZ,56,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,yes,0,Asymmetrical,Atypical,0.5,2.5,0.5,Hollow Log,Red Willow,present,High,present,Salix laevigata,old,0.004913217
760,MZ-36,Male,Adult,290,2.462397998,no,40,9.5,40,202,0,fuscipes,N. fuscipes bullatior,fuscipes,,143.92,35.774447,-120.794141,2010,"38,887 ",S50,S50,3,Sympatry,MZ,36,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Moderate,,yes,0,Symmetrical,Typical,1,1.25,1.25,Crook of Tree,Red Willow,present,Low,present,Salix laevigata,fresh,0.004888604
761,MZ-27,Male,Adult,370,2.568201724,no,38,11.2,40,202,0,fuscipes,N. fuscipes bullatior,fuscipes,,-275.55,35.774787,-120.793637,2010,"38,878 ",3820,3821,3,Sympatry,MZ,27,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,Symmetrical,Typical,1,1.25,1,Stick,Western Sycamore,present,Medium,absent,,absent,0.004851933
765,MZ-106,Female,Adult,263,2.419955748,no,38,9.53,37,203,0,fuscipes,n/a,fuscipes,,12.79,35.774631,-120.794581,2010,"38,933 ",S357,S357,3,Sympatry,MZ,106,Post Lactate,,Parous,scars on teats visible,Nonperforate,no,,JH Bender and WH Knowlton,updated genotype,,,Low,0,no,None,,no,0,Asymmetrical,Typical,0.75,1.5,1,Log with Sticks,Red Willow,present,Low,present,Salix laevigata,old,0.004608517
766,MZ-70,Female,Adult,295,2.469822016,no,36,9.62,37,203,0,macrotis,n/a,macrotis,,352.34,35.773691,-120.794479,2010,"38,879 ",3967,697,3,Sympatry,MZ,70,Post Lactate,,Parous,,Perforate,yes,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,1.5,2,1,Hillside,Coyote Brush,present,Medium,present,Artemisia douglasiana,fresh,0.004963934
767,CZ-38,Female,Adult,276,2.440909082,no,36,9.98,37,203,0,fuscipes,n/a,fuscipes,,198.89,35.774846,-120.795181,2010,"38,844 ",3594,3595,3,Sympatry,CZ,38,Lactating,,Parous,Lactating or recent Post Lactate,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,,,,,,,,,,,,,0.004625302
768,CZ-42,Female,Adult,230,2.361727836,no,37,8.4,38,203,0,fuscipes,n/a,fuscipes,,-195.35,35.775054,-120.794995,2010,"38,881 ",3874,3875,3,Sympatry,CZ,42,Post Lactate,,Parous,No scars on teets.,Perforate,no,,JH Bender and MM Koenig,updated genotype,In same trap as juvenile  3876/3877. possible mother and pup,,Low,0,no,Few,,yes,1,Asymmetrical,Typical,0.5,1,0.5,Crook of Tree,Red Willow,present,High,present,Artemisia douglasiana,old,0.004590388
769,NC-154,Male,Adult,355,2.550228353,no,36,11.35,38,203,0,fuscipes,N. fuscipes bullatior,fuscipes,,-338.24,35.775382,-120.793839,2010,"38,870 ",3762,3763,3,Sympatry,NC,154,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,3,3,Stick,Red Willow,absent,absent,absent,,absent,0.004846652
770,CZ-26,Male,Adult,320,2.505149978,no,30,8.21,39,203,0,macrotis,N. macrotis luciana,macrotis,,367.89,35.773737,-120.795065,2010,"38,883 ",3964,698,3,Sympatry,CZ,26,Scrotal,,,,,yes,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Asymmetrical,Typical,0.75,2,1,Crook of Bush,California Coffeeberry,present,Medium,present,Rhamnus californicus,old,0.004841788
771,NC-99,Male,Adult,415,2.618048097,no,40,9.8,40,203,0,fuscipes,N. fuscipes bullatior,fuscipes,,-623.71,35.775877,-120.793076,2010,"38,859 ",538,538,3,Sympatry,NC,99,Scrotal,,,,,yes,,JH Bender and MM Koenig,,Wound on snout (snout split),,Medium,0,no,Many,,no,0,Asymmetrical,Typical,0.75,2.5,1.75,Stick,Red Willow,present,Low,,Unknown,absent,0.004823292
772,WKH-3C,Female,Adult,267,2.426511261,no,34,,40,203,0,hybrid,n/a,hybrid,,520.81,35.773414,-120.795421,2008,"38,143 ",492,492,3,Sympatry,WKH,0,Lactating,,Parous,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.009671171
774,NC-109,Male,Adult,345,2.537819095,no,37,9.92,41,203,0,fuscipes,N. fuscipes bullatior,fuscipes,,-534.29,35.775599,-120.793171,2010,"38,859 ",757,757,3,Sympatry,NC,109,Scrotal,,,,,yes,,JH Bender and MM Koenig,,Bazoka Joe,,High,2,yes,Many,2 Botlies and 1 Huge Scar,no,0,Symmetrical,Typical,1.5,2,2,Log with Sticks,Red Willow,present,Low,present,Salix spp.,old,0.004830486
775,AS-17B,Female,Adult,306,2.485721426,no,33,,42,203,0,fuscipes,n/a,fuscipes,,-565.62,35.775966,-120.793525,2008,"38,153 ",549,549,3,Sympatry,AS,0,Lactating,,Parous,,,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004559899
776,TF-7A,Male,Adult,391,2.592176757,no,36,,44,203,0,fuscipes,N. fuscipes bullatior,fuscipes,,-431.98,35.775424,-120.793441,2008,"38,156 ",567,567,3,Sympatry,TF,0,,,,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004838855
777,NC-105,Female,Adult,263,2.419955748,no,37,8.1,37,204,0,fuscipes,n/a,fuscipes,,-532.21,35.7757,-120.793295,2010,"38,859 ",840,840,3,Sympatry,NC,105,Post Lactate,,Parous,"Many scars around teats, recent post Lactate.",Nonperforate,yes,,JH Bender and MM Koenig,,Left shoulder has bite wound scar. Left ear tag is on the Right side of ear near head. Right ear tag is barely on.,,Medium,0,no,Many,,no,0,Symmetrical,Typical,1,1.75,1.75,Log with Sticks,Red Willow,present,Low,present,Salix spp.,old,0.004562555
778,MZ-65,Female,Adult,238,2.376576957,no,37,8.35,38,204,0,macrotis,n/a,macrotis,,299.79,35.773854,-120.794328,2010,"38,879 ",829,829,3,Sympatry,MZ,65,Post Lactate,,Parous,scars visible on teats,Nonperforate,yes,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Asymmetrical,Atypical,0.25,2.5,2,Stick,Arroyo Willow,present,Low,absent,,absent,0.004969555
779,TF-9B,Female,Adult,255,2.40654018,no,35,,39,204,0,fuscipes,n/a,fuscipes,,-401.92,35.775518,-120.793704,2009,"38,508 ",762,762,3,Sympatry,TF,0,,,Parous,,,,Mom of 763+764?,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004573094
780,NC-136,Female,Adult,290,2.462397998,no,38,10.32,40,204,0,fuscipes,n/a,fuscipes,,-730.49,35.776415,-120.793365,2010,"38,861 ",750,750,3,Sympatry,NC,136,Post Lactate,,Parous,scars visible on teats,Nonperforate,yes,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.5,2.25,1.5,Stick,Willow Species,present,Low,present,Salix spp.,old,0.004547082
781,WKH-20F,Male,Adult,295,2.469822016,no,,,40,204,0,macrotis,N. macrotis luciana,macrotis,,351.66,35.773698,-120.794694,2009,"38,500 ",731,731,3,Sympatry,WKH,0,,,,,,,"Caught at fem house, clamped down on bag",JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004843496
782,MZ-67,Male,Adult,320,2.505149978,no,35,8.1,41,204,0,macrotis,N. macrotis luciana,macrotis,,309.31,35.773823,-120.794353,2010,"38,890 ",S72,S72,3,Sympatry,MZ,67,Scrotal,,,,,no,,JH Bender and MM Koenig,,,,Low,0,no,Few,,yes,5,Asymmetrical,Typical,0.75,2,1,Stick,Red Willow,present,Low,present,Populus fremontii,old,0.004847969
