ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
1033,N-23,Female,Adult,300,2.477121255,no,33,9.8,38,217,0,fuscipes,n/a,fuscipes,,2897.28,35.781911,-120.790535,2010,"38,829 ",3314,B70,4,Near Sympatry (fuscipes),N,23,Lactating,,Parous,,Nonperforate,no,,"JH Bender, PJ Murphy, CR Feldman",updated genotype,,,Medium,0,no,Many,,no,0,,,,,,,,,,,,,0.00492018
1034,N-41,Female,Adult,263,2.419955748,no,38,9.7,39,217,0,fuscipes,n/a,fuscipes,,2590.27,35.781039,-120.790692,2010,"38,908 ",3364,3365,4,Near Sympatry (fuscipes),N,41,Lactating,,Parous,Lactating on both dates,Nonperforate,no,,MM Koenig and JW Cromer,updated genotype,Measurements taken 9 July 2010 JW Cromer and MM Koenig. (Weight 263g),,Low,0,no,None,,yes,3,Symmetrical,Typical,0.5,1,0.75,Stick,Coyote Brush,absent,absent,present,,old,0.004882398
1035,NC-71,Male,Adult,390,2.591064607,no,38,11.44,39,218,0,fuscipes,N. fuscipes bullatior,fuscipes,,-1003.38,35.776758,-120.792363,2010,"38,847 ",3614,3615,4,Near Sympatry (fuscipes),NC,71,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Medium,0,no,Moderate,,no,0,Asymmetrical,Atypical,0.25,1,0.5,Hillside,Arroyo Willow,absent,absent,absent,,absent,0.004794064
1036,NC-13,Male,Adult,410,2.612783857,no,39,9.73,42,218,0,fuscipes,N. fuscipes bullatior,fuscipes,,-1632.93,35.778303,-120.791346,2010,"38,866 ",B93,791,4,Near Sympatry (fuscipes),NC,13,Scrotal,,,,,no,,JH Bender and MM Koenig,,Placed new tag (B93) on left ear. Right ear has large rip.,,Medium,1,yes,Few,1 Botfly and 1 Botfly scar,no,0,Asymmetrical,Atypical,0.5,1.75,1.75,Log with Sticks,Arroyo Willow,present,Low,present,,old,0.004750638
1037,N-10,Female,Adult,295,2.469822016,no,36,7.98,38,219,0,fuscipes,n/a,fuscipes,,3036.32,35.782291,-120.79043,2010,"38,830 ",3319,B99,4,Near Sympatry (fuscipes),N,10,Lactating,,Parous,,Nonperforate,no,,JH Bender,,"All measurements taken ?? Bender, Koenig",,Medium,1,yes,Moderate,,no,0,Symmetrical,Typical,1,1.75,1.5,Stick,Red Willow,absent,absent,present,Salix laevigata,old,0.004937603
1038,N-13,Male,Adult,365,2.562292864,no,37,9.31,38,219,0,fuscipes,N. fuscipes bullatior,fuscipes,,3018.47,35.782261,-120.790496,2010,"38,837 ",3388,3389,4,Near Sympatry (fuscipes),N,13,Scrotal,,,,,no,,JH Bender and MM Koenig,updated genotype,,,Medium,1,yes,Moderate,Botfly on neck,yes,4,Symmetrical,Typical,0.75,1.75,1,Stick,Red Willow,absent,absent,present,Platanus racemosa and Salix laevigata,old,0.005191007
1039,N-21,Female,Adult,271,2.432969291,no,34,9.5,38,219,0,fuscipes,n/a,fuscipes,,2924.67,35.781927,-120.790357,2010,"38,831 ",3336,3337,4,Near Sympatry (fuscipes),N,21,Lactating,,Parous,,Nonperforate,no,Rostrum,JH Bender and MM Koenig,updated genotype,,,Low,0,no,Moderate,,yes,0,Asymmetrical,Typical,1,1.5,1,Crook of Tree,Fremont's Cottonwood,absent,absent,present,Salix laevigata,old,0.004923597
1041,N-21,Female,Adult,270,2.431363764,no,31,,39,219,0,fuscipes,n/a,fuscipes,,2924.67,35.781927,-120.790357,2010,"38,829 ",3312,B79,4,Near Sympatry (fuscipes),N,21,Lactating,,Parous,,Nonperforate,no,Rostrum,"JH Bender, PJ Murphy, CR Feldman",updated genotype,,,High,2,yes,Many,,no,0,Asymmetrical,Typical,1,1.5,1,Crook of Tree,Fremont's Cottonwood,absent,absent,present,Salix laevigata,old,0.004923597
1042,N-9,Female,Adult,330,2.51851394,no,35,,40,219,0,fuscipes,n/a,fuscipes,,3063.92,35.782362,-120.790397,2010,"38,836 ",3376,3377,4,Near Sympatry (fuscipes),N,9,Lactating,,Parous,,Nonperforate,no,Rostrum,JH Bender,updated genotype,,,,0,no,,,no,0,Asymmetrical,Atypical,0,0,0,Hollow Log,Black Elderberry,absent,absent,present,Sambucus mexicana,fresh,0.004941084
1044,N-8,Female,Adult,278,2.444044796,no,30,,40,220,0,hybrid,n/a,hybrid,bx_ma,3037.16,35.782318,-120.790499,2010,"38,829 ",3305,B69,4,Near Sympatry (fuscipes),N,8,Lactating,,Parous,,Nonperforate,no,Rostrum,"JH Bender, PJ Murphy, CR Feldman",updated genotype,,,Low,0,no,Moderate,,no,0,Symmetrical,Typical,0.75,1,0.5,Log with Sticks,Red Willow,absent,absent,present,Salix laevigata,old,0.009731779
1045,N-18,Female,Adult,355,2.550228353,no,34,9.21,38,222,0,fuscipes,n/a,fuscipes,,2930.92,35.782042,-120.790618,2010,"38,829 ",3310,B67,4,Near Sympatry (fuscipes),N,18,Lactating,,Parous,,Nonperforate,no,,"JH Bender, PJ Murphy, CR Feldman",updated genotype,,,High,0,no,Many,,no,0,Symmetrical,Typical,0.5,2,1,Stick,Willow Species,absent,absent,present,Salix spp.,old,0.004924378
1046,N-24,Male,Adult,385,2.58546073,no,37,9.64,41,222,0,fuscipes,N. fuscipes bullatior,fuscipes,,2818.82,35.781689,-120.790575,2010,"38,908 ",3358,3359,4,Near Sympatry (fuscipes),N,24,Scrotal,,,,,no,,MM Koenig and JW Cromer,,,,Low,0,no,Few,,yes,0,Symmetrical,Typical,1,3,2.75,Log with Sticks,Arroyo Willow,absent,absent,present,Poaceae,old,0.005167589
1047,TB-3G,Female,Adult,287,2.457881897,no,37,,42,222,0,fuscipes,n/a,fuscipes,,-994.89,35.777064,-120.792964,2009,"38,528 ",803,803,4,Near Sympatry (fuscipes),TB,0,Lactating,,Parous,,,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004527551
1048,NC-34,Male,Adult,390,2.591064607,no,38,10.24,39,223,0,fuscipes,N. fuscipes bullatior,fuscipes,,-940.26,35.776922,-120.793029,2010,"38,839 ",B81,586,4,Near Sympatry (fuscipes),NC,34,Scrotal,,,,,yes,,JH Bender and MM Koenig,,,,Low,0,no,Few,,no,0,Symmetrical,Typical,0.75,2,1,Log with Sticks,Red Willow,present,Low,absent,,absent,0.004798771
